"DIA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"12 jun 2020";"574,50";"580,61"
"15 jun 2020";"571,42";"578,83"
"16 jun 2020";"571,04";"577,88"
"17 jun 2020";"571,33";"577,79"
"18 jun 2020";"573,23";"579,18"
"19 jun 2020";"574,26";"579,62"
"22 jun 2020";"570,26";"579,72"
"23 jun 2020";"574,06";"580,13"
"24 jun 2020";"573,31";"580,86"
"25 jun 2020";"576,33";"582,26"
"26 jun 2020";"576,83";"582,92"
"29 jun 2020";"577,49";"583,67"
"30 jun 2020";"577,51";"583,49"
"01 jul 2020";"579,01";"584,96"
"02 jul 2020";"579,27";"586,23"
"03 jul 2020";"577,06";"586,21"
"06 jul 2020";"577,65";"585,34"
"07 jul 2020";"577,51";"585,79"
"08 jul 2020";"578,08";"585,19"
"09 jul 2020";"579,20";"584,96"
"10 jul 2020";"578,26";"585,19"
"13 jul 2020";"579,00";"584,65"
"14 jul 2020";"577,84";"584,55"
"15 jul 2020";"577,50";"583,46"
"16 jul 2020";"578,74";"582,86"
"17 jul 2020";"578,91";"584,16"
"20 jul 2020";"578,70";"584,52"
"21 jul 2020";"576,47";"584,94"
"22 jul 2020";"576,73";"585,21"
"23 jul 2020";"579,78";"585,62"
"24 jul 2020";"579,60";"586,01"
"28 jul 2020";"579,69";"586,27"
"29 jul 2020";"580,49";"586,90"
"30 jul 2020";"580,51";"586,91"
"31 jul 2020";"582,15";"588,33"
"03 ago 2020";"582,41";"590,74"
"04 ago 2020";"584,23";"592,22"
"05 ago 2020";"586,65";"594,44"
"06 ago 2020";"588,12";"595,21"
"07 ago 2020";"588,70";"596,17"
"10 ago 2020";"588,22";"595,91"
"11 ago 2020";"590,69";"598,21"
"12 ago 2020";"592,54";"599,13"
"13 ago 2020";"594,48";"600,11"
"14 ago 2020";"592,81";"598,23"
"18 ago 2020";"591,44";"598,28"
"19 ago 2020";"591,38";"597,97"
"20 ago 2020";"591,69";"597,82"
"21 ago 2020";"588,34";"596,42"
"24 ago 2020";"588,38";"595,58"
"25 ago 2020";"588,04";"596,93"
"26 ago 2020";"591,52";"597,21"
"27 ago 2020";"591,61";"598,31"
"28 ago 2020";"591,43";"597,66"
"31 ago 2020";"590,21";"598,00"
"01 sep 2020";"592,02";"598,03"
"02 sep 2020";"593,12";"599,44"
"03 sep 2020";"593,21";"600,18"
"04 sep 2020";"594,10";"600,80"
"07 sep 2020";"595,36";"600,52"
"08 sep 2020";"594,61";"601,42"
"09 sep 2020";"592,96";"601,59"
"10 sep 2020";"595,70";"600,50"
"11 sep 2020";"592,43";"599,08"
"15 sep 2020";"590,92";"597,43"
"16 sep 2020";"591,90";"598,32"
"17 sep 2020";"593,80";"599,47"
"18 sep 2020";"594,80";"599,86"
"21 sep 2020";"594,93";"601,51"
"22 sep 2020";"595,02";"602,45"
"23 sep 2020";"596,90";"603,17"
"24 sep 2020";"596,58";"604,16"
"25 sep 2020";"598,25";"604,10"
"28 sep 2020";"598,65";"604,47"
"29 sep 2020";"599,38";"606,10"
"30 sep 2020";"600,45";"606,68"
"01 oct 2020";"601,71";"607,93"
"02 oct 2020";"599,16";"605,80"
"05 oct 2020";"597,16";"604,90"
"06 oct 2020";"597,97";"603,93"
"07 oct 2020";"599,10";"605,69"
"08 oct 2020";"598,82";"605,55"
"09 oct 2020";"599,55";"605,34"
"12 oct 2020";"597,61";"605,19"
"13 oct 2020";"598,44";"605,38"
"14 oct 2020";"599,36";"605,69"
"15 oct 2020";"600,71";"606,24"
"16 oct 2020";"599,66";"605,75"
"19 oct 2020";"599,53";"605,24"
"20 oct 2020";"599,14";"605,60"
"21 oct 2020";"598,03";"606,11"
"22 oct 2020";"599,20";"606,95"
"23 oct 2020";"600,03";"606,91"
"26 oct 2020";"602,67";"608,12"
"27 oct 2020";"603,01";"609,42"
"28 oct 2020";"603,06";"610,86"
"29 oct 2020";"605,45";"611,93"
"30 oct 2020";"604,91";"611,79"
"02 nov 2020";"604,74";"612,92"
"03 nov 2020";"605,74";"614,07"
"04 nov 2020";"607,11";"614,55"
"05 nov 2020";"606,63";"614,28"
"06 nov 2020";"608,50";"615,24"
"09 nov 2020";"608,06";"615,48"
"10 nov 2020";"609,19";"616,41"
"11 nov 2020";"608,90";"616,58"
"12 nov 2020";"610,85";"616,32"
"13 nov 2020";"609,39";"614,28"
"16 nov 2020";"606,51";"613,41"
"17 nov 2020";"605,21";"612,02"
"18 nov 2020";"604,11";"610,62"
"19 nov 2020";"603,72";"609,46"
"20 nov 2020";"601,10";"605,99"
"23 nov 2020";"597,00";"603,63"
"24 nov 2020";"596,95";"602,44"
"25 nov 2020";"595,48";"603,54"
"26 nov 2020";"597,87";"605,66"
"27 nov 2020";"602,49";"608,40"
"01 dic 2020";"600,18";"608,79"
"02 dic 2020";"600,64";"607,76"
"03 dic 2020";"597,99";"605,34"
"04 dic 2020";"597,41";"603,25"
"07 dic 2020";"598,08";"602,63"
"08 dic 2020";"598,79";"604,67"
"09 dic 2020";"599,47";"606,12"
"10 dic 2020";"602,72";"608,06"
"11 dic 2020";"603,18";"609,10"
"14 dic 2020";"602,82";"609,91"
"15 dic 2020";"603,56";"609,91"
"16 dic 2020";"601,52";"608,84"
"17 dic 2020";"601,37";"608,50"
"18 dic 2020";"602,40";"608,45"
"21 dic 2020";"602,48";"609,79"
"22 dic 2020";"604,69";"611,54"
"23 dic 2020";"605,46";"612,86"
"24 dic 2020";"605,25";"612,62"
"28 dic 2020";"607,32";"613,13"
"29 dic 2020";"606,28";"614,17"
"30 dic 2020";"609,43";"616,86"
"04 ene 2021";"610,53";"617,30"
"05 ene 2021";"609,00";"616,51"
"06 ene 2021";"609,24";"616,06"
"07 ene 2021";"611,60";"617,25"
"08 ene 2021";"611,63";"617,78"
"11 ene 2021";"609,74";"617,80"
"12 ene 2021";"608,21";"617,20"
"13 ene 2021";"608,60";"615,88"
"14 ene 2021";"606,86";"612,75"
"15 ene 2021";"605,03";"611,12"
"18 ene 2021";"604,92";"611,74"
"19 ene 2021";"606,58";"612,02"
"20 ene 2021";"606,13";"612,89"
"21 ene 2021";"606,50";"613,69"
"22 ene 2021";"608,07";"614,06"
"25 ene 2021";"606,29";"614,59"
"26 ene 2021";"609,98";"614,92"
"27 ene 2021";"610,29";"615,55"
"28 ene 2021";"609,55";"615,98"
"29 ene 2021";"609,68";"616,01"
"01 feb 2021";"608,93";"616,16"
"02 feb 2021";"609,17";"616,09"
"03 feb 2021";"609,74";"616,68"
"04 feb 2021";"609,59";"615,43"
"05 feb 2021";"608,72";"614,48"
"08 feb 2021";"606,48";"613,94"
"09 feb 2021";"608,07";"614,73"
"10 feb 2021";"608,77";"614,55"
"11 feb 2021";"607,81";"614,13"
"12 feb 2021";"607,33";"612,89"
"15 feb 2021";"605,67";"612,63"
"16 feb 2021";"605,12";"613,03"
"17 feb 2021";"608,82";"613,80"
"18 feb 2021";"607,99";"615,34"
"19 feb 2021";"608,17";"614,60"
"22 feb 2021";"606,37";"614,11"
"23 feb 2021";"606,57";"614,10"
"24 feb 2021";"607,13";"613,56"
"25 feb 2021";"606,91";"614,26"
"26 feb 2021";"609,26";"615,08"
"01 mar 2021";"610,09";"615,84"
"02 mar 2021";"609,54";"616,48"
"03 mar 2021";"610,08";"615,81"
"04 mar 2021";"607,96";"615,43"
"05 mar 2021";"607,96";"615,08"
"08 mar 2021";"607,19";"614,22"
"09 mar 2021";"607,37";"613,27"
"10 mar 2021";"605,24";"613,18"
"11 mar 2021";"606,63";"612,27"
"12 mar 2021";"606,71";"612,54"
"15 mar 2021";"606,62";"612,82"
"16 mar 2021";"606,00";"612,66"
"17 mar 2021";"607,80";"612,89"
"18 mar 2021";"607,43";"613,58"
"19 mar 2021";"607,84";"612,89"
"22 mar 2021";"606,13";"613,28"
"23 mar 2021";"605,14";"613,78"
"24 mar 2021";"608,24";"614,15"
"25 mar 2021";"609,81";"615,43"
"26 mar 2021";"609,35";"615,66"
"29 mar 2021";"608,55";"616,33"
"30 mar 2021";"607,45";"616,24"
"31 mar 2021";"610,29";"615,81"
"05 abr 2021";"608,16";"615,13"
"06 abr 2021";"607,12";"615,26"
"07 abr 2021";"606,94";"614,27"
"08 abr 2021";"608,74";"614,78"
"09 abr 2021";"609,46";"614,68"
"12 abr 2021";"608,16";"615,45"
"13 abr 2021";"606,99";"616,03"
"14 abr 2021";"609,24";"615,13"
"15 abr 2021";"609,64";"615,09"
"16 abr 2021";"609,31";"615,35"
"19 abr 2021";"609,97";"615,84"
"20 abr 2021";"610,29";"615,98"
"21 abr 2021";"609,94";"616,60"
"22 abr 2021";"612,90";"617,21"
"23 abr 2021";"612,41";"618,49"
"26 abr 2021";"611,52";"619,10"
"27 abr 2021";"613,42";"619,90"
"28 abr 2021";"612,49";"620,10"
"29 abr 2021";"614,73";"621,67"
"30 abr 2021";"613,35";"619,44"
"04 may 2021";"611,08";"616,92"
"05 may 2021";"609,42";"617,73"
"06 may 2021";"609,30";"618,26"
"07 may 2021";"613,44";"618,81"
"10 may 2021";"612,79";"618,72"
"11 may 2021";"611,95";"618,97"
"12 may 2021";"611,97";"618,31"
"13 may 2021";"613,29";"618,02"
"14 may 2021";"611,39";"617,49"
"17 may 2021";"609,82";"616,06"
"18 may 2021";"610,79";"617,38"
"19 may 2021";"612,08";"619,50"
"20 may 2021";"613,54";"619,61"
"21 may 2021";"611,16";"620,34"
"24 may 2021";"613,11";"620,02"
"25 may 2021";"614,15";"620,00"
"26 may 2021";"614,26";"619,92"
"27 may 2021";"613,79";"621,08"
"28 may 2021";"614,87";"620,04"
"31 may 2021";"613,22";"620,24"
"01 jun 2021";"613,03";"621,39"
"02 jun 2021";"614,70";"621,99"
"03 jun 2021";"614,82";"621,72"
"04 jun 2021";"613,87";"620,81"
"07 jun 2021";"613,32";"620,64"
"08 jun 2021";"613,47";"621,10"
"09 jun 2021";"614,13";"621,04"
"10 jun 2021";"614,07";"621,13"
"11 jun 2021";"614,80";"620,54"
"14 jun 2021";"614,10";"620,21"
"15 jun 2021";"614,39";"619,90"
"16 jun 2021";"612,63";"618,65"
"17 jun 2021";"614,07";"619,77"
"18 jun 2021";"614,07";"620,30"
"21 jun 2021";"614,04";"621,02"
"22 jun 2021";"613,84";"621,16"
"23 jun 2021";"613,89";"621,41"
"24 jun 2021";"616,70";"622,10"
"25 jun 2021";"615,79";"621,39"
"28 jun 2021";"614,23";"620,67"
"29 jun 2021";"614,90";"621,83"
"30 jun 2021";"615,25";"621,92"
"01 jul 2021";"615,47";"621,88"
"02 jul 2021";"615,82";"622,51"
"05 jul 2021";"614,62";"621,94"
"06 jul 2021";"615,50";"621,97"
"07 jul 2021";"614,50";"622,34"
"08 jul 2021";"616,31";"623,31"
"09 jul 2021";"618,14";"623,60"
"12 jul 2021";"617,97";"623,60"
"13 jul 2021";"616,19";"622,75"
"14 jul 2021";"615,01";"621,07"
"15 jul 2021";"615,43";"620,24"
"16 jul 2021";"615,16";"621,43"
"19 jul 2021";"614,67";"621,39"
"20 jul 2021";"613,56";"621,92"
"21 jul 2021";"617,15";"621,43"
"22 jul 2021";"614,45";"620,18"
"23 jul 2021";"615,07";"621,57"
"27 jul 2021";"615,42";"621,69"
"28 jul 2021";"614,47";"622,22"
"29 jul 2021";"616,66";"623,02"
"30 jul 2021";"617,93";"623,17"
"03 ago 2021";"616,89";"622,98"
"04 ago 2021";"616,78";"623,78"
"05 ago 2021";"617,14";"623,53"
"06 ago 2021";"615,68";"623,23"
"09 ago 2021";"616,39";"623,02"
"10 ago 2021";"616,79";"624,05"
"11 ago 2021";"618,41";"623,84"
"12 ago 2021";"618,64";"624,39"
"13 ago 2021";"618,01";"623,17"
"16 ago 2021";"615,49";"622,37"
"17 ago 2021";"615,83";"622,17"
"18 ago 2021";"616,70";"622,47"
"19 ago 2021";"616,73";"622,72"
"20 ago 2021";"616,31";"622,40"
"23 ago 2021";"615,97";"622,85"
"24 ago 2021";"616,95";"623,53"
"25 ago 2021";"619,55";"624,25"
"26 ago 2021";"619,36";"625,14"
"27 ago 2021";"620,29";"625,43"
"30 ago 2021";"619,70";"625,78"
"31 ago 2021";"619,83";"626,46"
"01 sep 2021";"619,72";"627,04"
"02 sep 2021";"620,94";"627,41"
"03 sep 2021";"619,10";"627,62"
"06 sep 2021";"619,60";"627,12"
"07 sep 2021";"620,69";"627,53"
"08 sep 2021";"621,16";"627,91"
"09 sep 2021";"623,32";"629,01"
"10 sep 2021";"623,92";"630,41"
"14 sep 2021";"622,56";"628,89"
"15 sep 2021";"621,04";"627,47"
"16 sep 2021";"621,28";"627,09"
"17 sep 2021";"620,82";"627,31"
"20 sep 2021";"619,94";"626,87"
"21 sep 2021";"621,68";"627,01"
"22 sep 2021";"619,60";"627,44"
"23 sep 2021";"621,03";"628,50"
"24 sep 2021";"623,65";"628,79"
"27 sep 2021";"622,80";"628,67"
"28 sep 2021";"622,49";"628,96"
"29 sep 2021";"623,30";"629,41"
"30 sep 2021";"623,24";"629,71"
"01 oct 2021";"623,12";"630,28"
"04 oct 2021";"622,95";"629,95"
"05 oct 2021";"622,72";"629,65"
